Gaussian
-1,822840712
1,401382536
1,037541772
1,855977685
0,144579718
0,225446518
2,173514796
-1,621331149
0,9935233
-1,237836321
0,768782154
-0,605266244
0,379168219
-0,171620711
0,876323918
-1,313104806
-0,003142018
0,302190795
-0,077447519
0,097128151
-0,171229579
-0,089163504
0,266319548
-1,828175252
0,436850082
-0,596750102
0,640329109
1,923936097
1,807665967
0,680443403
-1,533077058
-0,229432569
-0,41481725
-0,236630739
-0,217784616
0,511333329
0,462330581
-0,555916951
0,681363581
0,454661193
0,521706245
-1,564499596
1,909841553
-0,415459157
-0,403327361
0,511982901
-1,048502521
0,180102115
1,710488326
0,120725884
0,769883859
0,445756353
-0,042567025
0,566950057
-0,586665981
0,545460159
-0,410629286
-0,08470025
-1,732922878
0,112467817
0,6201228
-1,029453686
0,154687574
0,251818903
1,067917166
0,795786112
0,998323159
0,819511089
0,056430776
0,421912983
-2,648933357
-1,384384893
1,54455828
1,2913913
-1,117933181
-2,199190108
0,139220576
0,825970483
-1,136689162
-0,695520665
-0,576104506
0,191704882
-0,181492089
1,390980996
-0,015692825
1,690709515
1,112734884
1,257945571
0,001068288
0,197698717
1,426618491
2,180572739
-0,922026006
-1,531043323
-0,078241059
0,204144242
-0,450327741
-1,006328936
0,16191679
-0,189383994
-0,460917484
-0,212853811
-0,825742771
0,420372008
0,342270198
-1,512383158
-0,687353226
0,755497008
0,428631536
0,557445013
-0,777414745
0,050640799
1,289051141
0,49147455
-0,528830678
0,131892882
0,36585495
0,180535136
-1,028205939
0,494841827
-0,50492557
-0,261612033
1,241975974
0,525487521
0,250621352
0,973958158
0,435550969
-0,136570605
0,768322898
-0,544305647
-0,815788797
-1,440871072
-0,686484386
-0,277089524
0,564095568
-0,873077384
-1,734236603
-0,150518102
1,019686354
1,773511113
1,087116038
0,041882615
-1,142139474
-1,414266381
-1,251788884
-0,44685967
-0,693945648
1,35397743
2,690456422
1,036693039
-0,273051785
-0,313588245
-1,947660668
-0,25815114
-2,122909943
0,159165178
-0,71747749
0,274125332
-0,209385544
-0,010320048
0,720990491
-1,026401247
-0,584939309
-0,245761053
-0,494402698
-0,680143827
-0,831498951
0,080316329
-0,598323251
1,450467985
-1,329839233
0,62296283
0,735595911
-0,007167866
0,213914782
1,848382856
1,156545241
-2,038857365
-1,743508255
2,545019928
-0,420347067
0,804029436
-0,429444467
0,997102137
-1,18930495
0,097307785
0,147676588
0,541517216
-2,061575212
-1,094410937
-0,754432105
-0,825891223
1,072558636
0,799007294
1,06739734
-0,849872376
0,194866009
0,946241002
-0,794208968
-0,511550726
1,761072831
-1,339374904
2,00017879
1,216765561
-0,304084086
-0,731975812
-0,079214327
-0,746134621
-0,630051739
-0,008236788
0,167343578
-0,061999837
-0,212353509
-1,488847723
-0,005782817
-1,866745758
-1,728280572
-2,114046801
-0,218127455
-0,383675351
2,103139278
0,489753047
0,576309432
0,161510997
1,670355243
-1,334159188
-1,112402525
0,975763219
-1,262984335
1,316419892
0,37119832
-2,024197668
-0,465542334
-0,387247893
0,42433062
2,077630028
-1,301668429
-1,467565585
-1,700210857
-0,009661474
-0,580843524
-0,990137977
0,530201801
-0,953992852
-0,973265918
-0,917732939
0,571635875
1,659246139
0,303560151
0,696237379
0,028947694
-0,673054175
-1,8737283
-1,54089428
-0,934630402
-0,142108068
0,235597025
0,288719777
0,383115198
0,740404206
-1,407186665
-0,46819081
-1,354086713
-0,326266972
0,255380125
-0,982091257
0,937933858
0,40536708
0,356418061
1,923033157
-0,501616932
1,223478697
0,387948214
-1,324211789
0,098497448
1,632243836
0,480544113
-0,59349872
1,222703895
-0,240511577
-0,453651107
2,26846009
-1,55798698
1,632105991
-0,758610122
-1,099445678
0,871776749
-0,049900536
0,02003933
0,106682061
-0,459561905
1,134171163
0,379940554
-1,284497992
1,723995152
-0,754375897
1,441670221
-0,680026844
-0,765212313
0,230179718
0,309645995
0,628083389
0,36106637
-0,426844044
-0,342899997
0,989364883
-0,380647744
-0,849017469
0,500015023
0,287716544
-0,147299509
-1,192678579
1,218214955
1,868968697
